p_id,p_name,p_college,p_college,country,p_id,p_height
59,Jud Buechler                                                                                                                                                                                                                                                    ,Arizona                                                                                                                                                                                                                                                         ,Arizona                                                                                                                                                                                                                                                         ,USA                                                                                                                                                                                                                                                             ,59,198
61,Johnny Newman                                                                                                                                                                                                                                                   ,Richmond                                                                                                                                                                                                                                                        ,Richmond                                                                                                                                                                                                                                                        ,USA                                                                                                                                                                                                                                                             ,61,200
62,John Wallace                                                                                                                                                                                                                                                    ,Syracuse                                                                                                                                                                                                                                                        ,Syracuse                                                                                                                                                                                                                                                        ,USA                                                                                                                                                                                                                                                             ,62,205
63,John Stockton                                                                                                                                                                                                                                                   ,Gonzaga                                                                                                                                                                                                                                                         ,Gonzaga                                                                                                                                                                                                                                                         ,USA                                                                                                                                                                                                                                                             ,63,185
64,John Starks                                                                                                                                                                                                                                                     ,Oklahoma State                                                                                                                                                                                                                                                  ,Oklahoma State                                                                                                                                                                                                                                                  ,USA                                                                                                                                                                                                                                                             ,64,195
65,John Long                                                                                                                                                                                                                                                       ,Detroit Mercy                                                                                                                                                                                                                                                   ,Detroit Mercy                                                                                                                                                                                                                                                   ,USA                                                                                                                                                                                                                                                             ,65,195
68,Joe Stephens                                                                                                                                                                                                                                                    ,Arkansas-Little Rock                                                                                                                                                                                                                                            ,Arkansas-Little Rock                                                                                                                                                                                                                                            ,USA                                                                                                                                                                                                                                                             ,68,200
69,Joe Smith                                                                                                                                                                                                                                                       ,Maryland                                                                                                                                                                                                                                                        ,Maryland                                                                                                                                                                                                                                                        ,USA                                                                                                                                                                                                                                                             ,69,208
71,Joe Dumars                                                                                                                                                                                                                                                      ,McNeese State                                                                                                                                                                                                                                                   ,McNeese State                                                                                                                                                                                                                                                   ,USA                                                                                                                                                                                                                                                             ,71,190
72,Joe Courtney                                                                                                                                                                                                                                                    ,Southern Mississippi                                                                                                                                                                                                                                            ,Southern Mississippi                                                                                                                                                                                                                                            ,USA                                                                                                                                                                                                                                                             ,72,203
73,Jimmy Oliver                                                                                                                                                                                                                                                    ,Purdue                                                                                                                                                                                                                                                          ,Purdue                                                                                                                                                                                                                                                          ,USA                                                                                                                                                                                                                                                             ,73,195
75,Jimmy Carruth                                                                                                                                                                                                                                                   ,Virginia Tech                                                                                                                                                                                                                                                   ,Virginia Tech                                                                                                                                                                                                                                                   ,USA                                                                                                                                                                                                                                                             ,75,208
76,Jim McIlvaine                                                                                                                                                                                                                                                   ,Marquette                                                                                                                                                                                                                                                       ,Marquette                                                                                                                                                                                                                                                       ,USA                                                                                                                                                                                                                                                             ,76,215
77,Jim Jackson                                                                                                                                                                                                                                                     ,Ohio State                                                                                                                                                                                                                                                      ,Ohio State                                                                                                                                                                                                                                                      ,USA                                                                                                                                                                                                                                                             ,77,198
83,Litterial Green                                                                                                                                                                                                                                                 ,Georgia                                                                                                                                                                                                                                                         ,Georgia                                                                                                                                                                                                                                                         ,USA                                                                                                                                                                                                                                                             ,83,185
84,Lionel Simmons                                                                                                                                                                                                                                                  ,La Salle                                                                                                                                                                                                                                                        ,La Salle                                                                                                                                                                                                                                                        ,USA                                                                                                                                                                                                                                                             ,84,200
85,Lindsey Hunter                                                                                                                                                                                                                                                  ,Jackson State                                                                                                                                                                                                                                                   ,Jackson State                                                                                                                                                                                                                                                   ,USA                                                                                                                                                                                                                                                             ,85,187
89,Larry Stewart                                                                                                                                                                                                                                                   ,Coppin State                                                                                                                                                                                                                                                    ,Coppin State                                                                                                                                                                                                                                                    ,USA                                                                                                                                                                                                                                                             ,89,203
90,Larry Krystkowiak                                                                                                                                                                                                                                               ,Montana                                                                                                                                                                                                                                                         ,Montana                                                                                                                                                                                                                                                         ,USA                                                                                                                                                                                                                                                             ,90,205
91,Larry Johnson                                                                                                                                                                                                                                                   ,Nevada-Las Vegas                                                                                                                                                                                                                                                ,Nevada-Las Vegas                                                                                                                                                                                                                                                ,USA                                                                                                                                                                                                                                                             ,91,200
92,Lamond Murray                                                                                                                                                                                                                                                   ,California                                                                                                                                                                                                                                                      ,California                                                                                                                                                                                                                                                      ,USA                                                                                                                                                                                                                                                             ,92,200
93,LaSalle Thompson                                                                                                                                                                                                                                                ,Texas                                                                                                                                                                                                                                                           ,Texas                                                                                                                                                                                                                                                           ,USA                                                                                                                                                                                                                                                             ,93,208
94,Loren Meyer                                                                                                                                                                                                                                                     ,Iowa State                                                                                                                                                                                                                                                      ,Iowa State                                                                                                                                                                                                                                                      ,USA                                                                                                                                                                                                                                                             ,94,208
103,Kevin Edwards                                                                                                                                                                                                                                                   ,DePaul                                                                                                                                                                                                                                                          ,DePaul                                                                                                                                                                                                                                                          ,USA                                                                                                                                                                                                                                                             ,103,190
104,Kevin Duckworth                                                                                                                                                                                                                                                 ,Eastern Illinois                                                                                                                                                                                                                                                ,Eastern Illinois                                                                                                                                                                                                                                                ,USA                                                                                                                                                                                                                                                             ,104,213
105,Kerry Kittles                                                                                                                                                                                                                                                   ,Villanova                                                                                                                                                                                                                                                       ,Villanova                                                                                                                                                                                                                                                       ,USA                                                                                                                                                                                                                                                             ,105,195
107,Kurt Thomas                                                                                                                                                                                                                                                     ,Texas Christian                                                                                                                                                                                                                                                 ,Texas Christian                                                                                                                                                                                                                                                 ,USA                                                                                                                                                                                                                                                             ,107,205
109,Priest Lauderdale                                                                                                                                                                                                                                               ,Central State (OH)                                                                                                                                                                                                                                              ,Central State (OH)                                                                                                                                                                                                                                              ,USA                                                                                                                                                                                                                                                             ,109,223
112,Walter McCarty                                                                                                                                                                                                                                                  ,Kentucky                                                                                                                                                                                                                                                        ,Kentucky                                                                                                                                                                                                                                                        ,USA                                                                                                                                                                                                                                                             ,112,208
114,Voshon Lenard                                                                                                                                                                                                                                                   ,Minnesota                                                                                                                                                                                                                                                       ,Minnesota                                                                                                                                                                                                                                                       ,USA                                                                                                                                                                                                                                                             ,114,193
116,Vitaly Potapenko                                                                                                                                                                                                                                                ,Wright State                                                                                                                                                                                                                                                    ,Wright State                                                                                                                                                                                                                                                    ,Ukraine                                                                                                                                                                                                                                                         ,116,208
119,Vin Baker                                                                                                                                                                                                                                                       ,Hartford                                                                                                                                                                                                                                                        ,Hartford                                                                                                                                                                                                                                                        ,USA                                                                                                                                                                                                                                                             ,119,210
120,Vernon Maxwell                                                                                                                                                                                                                                                  ,Florida                                                                                                                                                                                                                                                         ,Florida                                                                                                                                                                                                                                                         ,USA                                                                                                                                                                                                                                                             ,120,193
124,Terrell Brandon                                                                                                                                                                                                                                                 ,Oregon                                                                                                                                                                                                                                                          ,Oregon                                                                                                                                                                                                                                                          ,USA                                                                                                                                                                                                                                                             ,124,180
126,Stevin Smith                                                                                                                                                                                                                                                    ,Arizona State                                                                                                                                                                                                                                                   ,Arizona State                                                                                                                                                                                                                                                   ,USA                                                                                                                                                                                                                                                             ,126,187
129,Steve Nash                                                                                                                                                                                                                                                      ,Santa Clara                                                                                                                                                                                                                                                     ,Santa Clara                                                                                                                                                                                                                                                     ,Canada                                                                                                                                                                                                                                                          ,129,190
131,Steve Hamer                                                                                                                                                                                                                                                     ,Tennessee                                                                                                                                                                                                                                                       ,Tennessee                                                                                                                                                                                                                                                       ,USA                                                                                                                                                                                                                                                             ,131,213
134,Wesley Person                                                                                                                                                                                                                                                   ,Auburn                                                                                                                                                                                                                                                          ,Auburn                                                                                                                                                                                                                                                          ,USA                                                                                                                                                                                                                                                             ,134,198
135,Will Perdue                                                                                                                                                                                                                                                     ,Vanderbilt                                                                                                                                                                                                                                                      ,Vanderbilt                                                                                                                                                                                                                                                      ,USA                                                                                                                                                                                                                                                             ,135,213
141,Terry Porter                                                                                                                                                                                                                                                    ,Wisconsin-Stevens Point                                                                                                                                                                                                                                         ,Wisconsin-Stevens Point                                                                                                                                                                                                                                         ,USA                                                                                                                                                                                                                                                             ,141,190
142,Theo Ratliff                                                                                                                                                                                                                                                    ,Wyoming                                                                                                                                                                                                                                                         ,Wyoming                                                                                                                                                                                                                                                         ,USA                                                                                                                                                                                                                                                             ,142,208
143,Tim Hardaway                                                                                                                                                                                                                                                    ,Texas-El Paso                                                                                                                                                                                                                                                   ,Texas-El Paso                                                                                                                                                                                                                                                   ,USA                                                                                                                                                                                                                                                             ,143,182
148,Tom Chambers                                                                                                                                                                                                                                                    ,Utah                                                                                                                                                                                                                                                            ,Utah                                                                                                                                                                                                                                                            ,USA                                                                                                                                                                                                                                                             ,148,208
153,Tony Dumas                                                                                                                                                                                                                                                      ,Missouri-Kansas City                                                                                                                                                                                                                                            ,Missouri-Kansas City                                                                                                                                                                                                                                            ,USA                                                                                                                                                                                                                                                             ,153,198
